racing_number,position,gap_seconds,laps_behind,interval_seconds,catching,overtake_state,is_leader,leader_lap,pit_stops,is_out,timestamp_ms
27,,5.832,0,0.31,,,false,,,,3424850
10,,2.21,0,0.613,,,false,,,,3424866
6,7,,0,,,lost_position,false,,,,3425038
87,6,,0,,,gained_position,false,,,,3425038
87,,2.455,0,0.245,,,false,,,,3425132
6,,2.491,0,0.036,,,false,,,,3425179
18,,6.816,0,0.984,,,false,,,,3425694
43,,3.325,0,0.834,,,false,,,,3425975
41,,3.645,0,0.32,,,false,,,,3426304
30,,4.02,0,0.375,,,false,,,,3426694
14,,4.31,0,0.29,,,false,,,,3426991
31,,4.455,0,0.145,,,false,,,,3427147
55,,4.59,0,0.135,,,false,,,,3427381
12,,0.848,0,0.848,,,false,,,,3427641
16,,1.177,0,0.329,,,false,,,,3427996
77,,5.359,0,0.769,,,false,,,,3428030
30,,,0,,,neutral,false,,,,3428066
3,,5.456,0,0.097,,,false,,,,3428133
14,,,0,,,neutral,false,,,,3428376
55,,,0,,,neutral,false,,,,3428376
31,,,0,,,neutral,false,,,,3428376
63,,1.718,0,0.541,,,false,,,,3428522
27,,5.892,0,0.436,,,false,,,,3428544
10,,2.257,0,0.539,,,false,,,,3429032
87,,2.565,0,0.308,,,false,,,,3429344
3,,,0,,,neutral,false,,,,3429469
27,,,0,,,neutral,false,,,,3429485
18,,6.875,0,0.983,,,false,,,,3429516
6,,2.807,0,0.242,,,false,,,,3429613
87,,,0,,,neutral,false,,,,3430016
6,,,0,,,neutral,false,,,,3430032
43,,3.479,0,0.672,,,false,,,,3430266
41,,3.92,0,0.441,,,false,,,,3430735
30,,4.313,0,0.393,,,false,,,,3431126
14,,4.638,0,0.325,,,false,,,,3431454
31,,4.868,0,0.23,,,false,,,,3431704
55,,5.084,0,0.216,,,false,,,,3431891
11,,13.54,0,6.724,,,false,,,,3432360
3,14,,0,,,gained_position,false,,,,3432579
77,15,,0,,,lost_position,false,,,,3432579
3,,5.856,0,0.772,,,false,,,,3432672
77,,5.901,0,0.045,,,false,,,,3432720
27,,6.24,0,0.339,,,false,,,,3433001
12,,1.029,0,1.029,,,false,,,,3433469
16,,1.435,0,0.406,,,false,,,,3433860
18,,7.182,0,0.942,,,false,,,,3433969
63,,2.071,0,0.636,,,false,,,,3434485
10,,2.695,0,0.624,,,false,,,,3435110
87,,3.054,0,0.359,,,false,,,,3435485
6,,3.36,0,0.306,,,false,,,,3435782
11,,13.536,0,6.661,,,false,,,,3436188
43,,4.016,0,0.656,,,false,,,,3436422
41,,4.534,0,0.518,,,false,,,,3437016
3,,,0,,,neutral,false,,,,3437563
77,,,0,,,neutral,false,,,,3437579
30,,4.946,0,0.412,,,false,,,,3437579
14,,5.242,0,0.296,,,false,,,,3438063
12,,1.102,0,1.102,,,false,,,,3438141
31,,5.625,0,0.383,,,false,,,,3438407
16,,1.56,0,0.458,,,false,,,,3438626
55,,5.937,0,0.312,,,false,,,,3438642
3,,6.396,0,0.459,,,false,,,,3438938
63,,2.206,0,0.646,,,false,,,,3439235
77,,6.733,0,0.337,,,false,,,,3439282
27,,6.984,0,0.251,,,false,,,,3439485
10,,2.964,0,0.758,,,false,,,,3440043
18,,7.885,0,0.901,,,false,,,,3440362
87,,3.309,0,0.345,,,false,,,,3440376
11,,13.854,0,6.672,,,false,,,,3440641
6,,3.686,0,0.377,,,false,,,,3440742
43,,4.288,0,0.602,,,false,,,,3441328
41,,4.919,0,0.631,,,false,,,,3441996
12,,1.009,0,1.009,,,false,,,,3442154
30,,5.358,0,0.439,,,false,,,,3442428
16,,1.597,0,0.588,,,false,,,,3442731
14,,5.701,0,0.343,,,false,,,,3442731
31,,5.997,0,0.296,,,false,,,,3443098
63,,2.134,0,0.537,,,false,,,,3443229
55,,6.468,0,0.471,,,false,,,,3443528
3,,6.837,0,0.369,,,false,,,,3443914
10,,2.883,0,0.749,,,false,,,,3443999
77,,7.175,0,0.338,,,false,,,,3444214
87,,3.481,0,0.598,,,false,,,,3444571
27,,7.647,0,0.472,,,false,,,,3444697
6,,3.611,0,0.13,,,false,,,,3444717
18,,8.203,0,0.556,,,false,,,,3445254
43,,4.24,0,0.629,,,false,,,,3445369
41,,4.889,0,0.649,,,false,,,,3446027
30,,5.305,0,0.416,,,false,,,,3446453
11,,14.283,0,6.398,closing,,false,,,,3446718
14,,5.672,0,0.367,,,false,,,,3446797
31,,6.036,0,0.364,,,false,,,,3447166
55,,6.498,0,0.462,,,false,,,,3447629
3,,6.853,0,0.355,,,false,,,,3447961
77,,7.266,0,0.413,,,false,,,,3448430
12,,1.119,0,1.119,,,false,,,,3448512
27,,7.685,0,0.419,,,false,,,,3448826
16,,1.771,0,0.652,,,false,,,,3449207
18,,8.161,0,0.476,,,false,,,,3449276
63,,2.4,0,0.629,,,false,,,,3449792
10,,3.095,0,0.695,,,false,,,,3450566
11,,14.497,0,6.294,,,false,,,,3451571
87,,4.231,0,1.136,,,false,,,,3451651
6,,4.558,0,0.327,,,false,,,,3451992
43,,4.846,0,0.288,,,false,,,,3452375
41,,5.405,0,0.559,,,false,,,,3452874
30,,5.814,0,0.409,,,false,,,,3453296
14,,6.257,0,0.443,,,false,,,,3453751
12,,0.892,0,0.892,,,false,,,,3453799
31,,6.678,0,0.421,,,false,,,,3454196
16,,1.624,0,0.732,,,false,,,,3454564
55,,7.13,0,0.452,,,false,,,,3454897
3,,7.554,0,0.424,,,false,,,,3455168
63,,2.249,0,0.625,,,false,,,,3455178
77,,7.965,0,0.411,,,false,,,,3455596
11,,14.57,0,6.409,,,false,,,,3455700
10,,3.106,0,0.857,,,false,,,,3456070
27,,8.481,0,0.516,,,false,,,,3456176
18,,8.972,0,0.491,,,false,,,,3456442
